City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chuy,UY,2022-07-14 11:51:59,-33.6971,-53.4616,54.57,92,79,10.33
68,Hobart,AU,2022-07-14 11:50:57,-42.8794,147.3294,48.06,93,75,0.0
69,Whitehorse,CA,2022-07-14 11:51:59,60.7161,-135.0538,48.97,93,100,2.3
70,Katobu,ID,2022-07-14 11:51:59,-4.9408,122.5276,74.59,84,94,4.74
71,Lorengau,PG,2022-07-14 11:52:00,-2.0226,147.2712,81.9,75,100,3.6
72,Mount Isa,AU,2022-07-14 11:52:00,-20.7333,139.5,55.17,30,6,6.91
73,Tibati,CM,2022-07-14 11:52:00,6.4667,12.6333,78.12,74,91,0.94
74,Husavik,IS,2022-07-14 11:52:01,66.0449,-17.3389,49.44,76,99,0.67
75,Vallenar,CL,2022-07-14 11:52:01,-28.5708,-70.7581,50.34,84,100,7.61
76,Barrow,US,2022-07-14 11:50:38,71.2906,-156.7887,33.82,86,100,6.91
77,Puerto Ayora,EC,2022-07-14 11:50:18,-0.7393,-90.3518,69.55,93,92,8.99
78,Guerrero Negro,MX,2022-07-14 11:52:02,27.9769,-114.0611,62.89,93,9,10.07
79,Bubaque,GW,2022-07-14 11:52:02,11.2833,-15.8333,79.09,85,100,11.01
80,Homer,US,2022-07-14 11:52:02,59.6425,-151.5483,58.87,86,100,4.0
81,Salalah,OM,2022-07-14 11:47:49,17.0151,54.0924,82.49,78,75,11.5
82,Khatanga,RU,2022-07-14 11:52:03,71.9667,102.5,52.03,64,99,4.76
83,Cabo San Lucas,MX,2022-07-14 11:52:03,22.8909,-109.9124,85.51,58,20,8.79
84,Cidreira,BR,2022-07-14 11:47:17,-30.1811,-50.2056,56.61,92,99,12.19
85,Codrington,AU,2022-07-14 11:52:03,-38.2667,141.9667,45.75,95,33,8.05
86,Phuket,TH,2022-07-14 11:52:04,8.0,98.25,86.09,79,20,10.36
87,Hilo,US,2022-07-14 11:52:04,19.7297,-155.09,74.28,100,100,4.61
88,Igrim,RU,2022-07-14 11:52:04,63.1906,64.4162,82.54,46,68,1.41
89,Varzea Grande,BR,2022-07-14 11:50:49,-15.6467,-56.1325,64.27,94,0,8.05
90,Vardo,NO,2022-07-14 11:52:05,70.3705,31.1107,57.18,88,0,3.44
91,Grand Gaube,MU,2022-07-14 11:52:05,-20.0064,57.6608,75.6,65,45,11.99
92,Mar Del Plata,AR,2022-07-14 11:47:47,-38.0023,-57.5575,50.09,90,0,15.99
93,Hobyo,SO,2022-07-14 11:52:06,5.3505,48.5268,82.53,67,87,28.41
94,Port Elizabeth,ZA,2022-07-14 11:50:16,-33.918,25.5701,62.1,74,75,19.57
95,Kirovskiy,RU,2022-07-14 11:52:06,45.0917,133.5136,64.31,94,100,9.66
96,Muroto,JP,2022-07-14 11:52:07,33.2833,134.15,76.78,90,53,4.54
97,Saravan,AM,2022-07-14 11:52:07,39.7196,45.6483,82.98,34,0,9.35
98,Ponta Do Sol,PT,2022-07-14 11:52:07,32.6667,-17.1,80.01,70,1,5.32
99,Omboue,GA,2022-07-14 11:52:07,-1.5746,9.2618,79.5,63,30,11.32
100,Klaksvik,FO,2022-07-14 11:52:08,62.2266,-6.589,52.72,83,95,7.54
101,Hofn,IS,2022-07-14 11:50:15,64.2539,-15.2082,53.62,76,20,10.36
102,Port-Cartier,CA,2022-07-14 11:52:08,50.0334,-66.8654,59.76,59,6,0.89
103,Lavrentiya,RU,2022-07-14 11:52:08,65.5833,-171.0,49.08,69,65,4.9
104,Pevek,RU,2022-07-14 11:52:09,69.7008,170.3133,34.14,86,23,16.64
105,Havre-Saint-Pierre,CA,2022-07-14 11:52:09,50.2334,-63.5986,55.76,82,0,5.75
106,Porto Belo,BR,2022-07-14 11:52:09,-27.1578,-48.5531,61.25,96,100,8.39
107,Port Alfred,ZA,2022-07-14 11:52:10,-33.5906,26.891,63.18,67,99,8.99
108,Tasiilaq,GL,2022-07-14 11:52:10,65.6145,-37.6368,40.91,72,12,4.99
109,Kavieng,PG,2022-07-14 11:52:10,-2.5744,150.7967,80.11,77,100,5.53
110,Maragogi,BR,2022-07-14 11:52:11,-9.0122,-35.2225,79.05,70,22,10.56
111,Otane,NZ,2022-07-14 11:52:11,-39.8833,176.6333,50.02,97,100,8.16
112,Pontes E Lacerda,BR,2022-07-14 11:52:11,-15.2261,-59.3353,73.49,47,86,2.98
113,Sikasso,ML,2022-07-14 11:52:12,10.9167,-7.0,92.7,45,90,3.06
114,Padang,ID,2022-07-14 11:52:12,-0.9492,100.3543,80.65,87,100,3.0
115,Saskylakh,RU,2022-07-14 11:52:12,71.9167,114.0833,44.11,86,100,8.12
116,Nikolskoye,RU,2022-07-14 11:52:13,59.7035,30.7861,67.71,70,82,10.29
117,Port Hardy,CA,2022-07-14 11:52:13,50.6996,-127.4199,53.78,94,100,3.44
118,Bulgan,MN,2022-07-14 11:52:13,48.8125,103.5347,63.05,71,55,5.35
