City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Khani,GE,2022-07-15 23:28:38,41.9563,42.9566,60.37,83,1,2.15,clear sky
61,Tanout,NE,2022-07-15 23:28:39,14.9709,8.8879,76.14,65,100,24.47,light rain
62,Inongo,CD,2022-07-15 23:28:39,-1.95,18.2667,72.63,56,48,3.51,scattered clouds
63,Saldanha,ZA,2022-07-15 23:28:39,-33.0117,17.9442,53.65,75,88,7.52,overcast clouds
64,Mehamn,NO,2022-07-15 23:28:40,71.0357,27.8492,53.55,87,71,4.61,broken clouds
65,Bourail,NC,2022-07-15 23:28:40,-21.5667,165.4833,69.76,56,50,13.94,scattered clouds
66,Xiamen,CN,2022-07-15 23:24:00,24.4798,118.0819,87.85,79,0,4.47,clear sky
67,Souillac,MU,2022-07-15 23:28:41,-20.5167,57.5167,66.58,94,75,11.5,light rain
68,Hermanus,ZA,2022-07-15 23:28:41,-34.4187,19.2345,53.8,81,97,8.86,overcast clouds
69,Roebourne,AU,2022-07-15 23:28:41,-20.7833,117.1333,61.2,34,1,10.6,clear sky
70,Barcelos,PT,2022-07-15 23:28:41,41.5388,-8.6151,74.91,84,52,1.19,broken clouds
71,Janauba,BR,2022-07-15 23:28:42,-15.8025,-43.3089,69.98,32,5,8.01,clear sky
72,Rio Grande,BR,2022-07-15 23:28:42,-32.035,-52.0986,62.71,98,71,9.69,broken clouds
73,Sola,VU,2022-07-15 23:28:42,-13.8833,167.55,80.35,74,33,19.35,scattered clouds
74,Kodiak,US,2022-07-15 23:28:43,57.79,-152.4072,60.31,72,40,6.91,scattered clouds
75,Yellowknife,CA,2022-07-15 23:28:43,62.456,-114.3525,64.92,63,75,4.61,broken clouds
76,Talnakh,RU,2022-07-15 23:28:43,69.4865,88.3972,58.21,62,8,1.79,clear sky
77,Provideniya,RU,2022-07-15 23:28:44,64.3833,-173.3,48.87,63,69,3.13,broken clouds
78,Bowen,AU,2022-07-15 23:28:44,-20.0167,148.2333,67.12,72,29,16.33,scattered clouds
79,Avarua,CK,2022-07-15 23:28:44,-21.2078,-159.775,77.05,61,75,19.57,broken clouds
80,Vaini,TO,2022-07-15 23:28:44,-21.2,-175.2,80.76,94,20,9.22,few clouds
81,Rindal,NO,2022-07-15 23:28:45,63.0565,9.2124,45.1,92,99,6.46,overcast clouds
82,Mar Del Plata,AR,2022-07-15 23:28:45,-38.0023,-57.5575,50.88,96,100,10.36,drizzle
83,Katsuura,JP,2022-07-15 23:28:46,35.1333,140.3,75.22,92,100,10.33,moderate rain
84,New Norfolk,AU,2022-07-15 23:28:46,-42.7826,147.0587,49.91,83,100,1.01,overcast clouds
85,Greenville,US,2022-07-15 23:28:46,35.6127,-77.3663,82.56,85,40,1.99,scattered clouds
86,Vasto,IT,2022-07-15 23:28:46,42.1243,14.7059,82.15,43,0,4.36,clear sky
87,Krivosheino,RU,2022-07-15 23:28:47,57.3431,83.9261,52.34,88,89,2.13,overcast clouds
88,Airai,TL,2022-07-15 23:24:04,-8.9266,125.4092,56.95,83,98,3.22,overcast clouds
89,Kavieng,PG,2022-07-15 23:28:47,-2.5744,150.7967,82.53,74,51,9.73,broken clouds
90,Sarangani,PH,2022-07-15 23:28:47,5.4033,125.4636,82.29,77,68,8.86,broken clouds
91,Karratha,AU,2022-07-15 23:28:48,-20.7377,116.8463,61.84,39,1,10.09,clear sky
92,Ponta Do Sol,PT,2022-07-15 23:24:56,32.6667,-17.1,71.01,82,27,4.41,scattered clouds
93,Smithers,CA,2022-07-15 23:28:48,54.7804,-127.1743,64.72,72,75,5.75,broken clouds
94,Ahipara,NZ,2022-07-15 23:28:49,-35.1667,173.1667,55.47,76,77,9.84,broken clouds
95,Bolgatanga,GH,2022-07-15 23:28:49,10.7856,-0.8514,78.4,79,92,4.83,overcast clouds
96,Kokkola,FI,2022-07-15 23:28:49,63.8385,23.1307,55.92,94,0,5.75,clear sky
97,Gornopravdinsk,RU,2022-07-15 23:28:50,60.05,69.9,61.3,98,75,3.67,light rain
98,Nueva Londres,PY,2022-07-15 23:28:50,-25.4045,-56.5498,77.25,60,100,4.9,overcast clouds
99,Marechal Candido Rondon,BR,2022-07-15 23:27:42,-24.5561,-54.0567,73.6,45,100,9.42,overcast clouds
100,Asau,RO,2022-07-15 23:28:50,46.4333,26.4,67.12,89,24,3.27,few clouds
101,Fortuna,US,2022-07-15 23:28:51,40.5982,-124.1573,70.93,73,20,3.0,few clouds
102,Ixtapa,MX,2022-07-15 23:28:51,20.7,-105.2,88.23,66,20,8.05,few clouds
103,Dolores,AR,2022-07-15 23:25:46,-36.3132,-57.6792,52.09,87,99,5.95,overcast clouds
104,Beaverlodge,CA,2022-07-15 23:28:52,55.2166,-119.4361,70.95,65,100,4.21,overcast clouds
105,Saint-Philippe,RE,2022-07-15 23:28:52,-21.3585,55.7679,64.22,84,55,9.51,light rain
106,Pangoa,PE,2022-07-15 23:28:52,-12.1167,-73.0,69.94,95,100,2.26,overcast clouds
107,Grand Gaube,MU,2022-07-15 23:28:52,-20.0064,57.6608,68.38,82,89,3.0,moderate rain
108,Guatire,VE,2022-07-15 23:28:53,10.4762,-66.5427,73.42,94,81,2.15,broken clouds
109,Bathsheba,BB,2022-07-15 23:28:53,13.2167,-59.5167,82.06,89,40,20.71,scattered clouds
110,Narsaq,GL,2022-07-15 23:28:53,60.9167,-46.05,55.62,80,53,6.44,broken clouds
111,Saint-Francois,FR,2022-07-15 23:28:54,46.4154,3.9054,62.04,72,0,1.14,clear sky
112,Carnarvon,AU,2022-07-15 23:28:54,-24.8667,113.6333,63.39,50,0,11.07,clear sky
113,Ahuimanu,US,2022-07-15 23:28:54,21.4447,-157.8378,83.91,67,40,12.66,scattered clouds
114,Dickson,US,2022-07-15 23:28:55,36.077,-87.3878,90.25,51,75,0.0,broken clouds
115,Itarema,BR,2022-07-15 23:24:57,-2.9248,-39.9167,78.78,78,65,14.27,broken clouds
116,Comodoro Rivadavia,AR,2022-07-15 23:28:55,-45.8667,-67.5,33.66,86,40,5.75,scattered clouds
117,Petropavlovka,RU,2022-07-15 23:28:55,50.6114,105.3196,57.29,82,95,3.78,overcast clouds
118,Marawi,PH,2022-07-15 23:28:56,7.9986,124.2928,70.97,93,89,1.63,overcast clouds
119,Ostrovnoy,RU,2022-07-15 23:28:56,68.0531,39.5131,58.15,95,100,1.32,light rain
120,Bethel,US,2022-07-15 23:27:06,41.3712,-73.414,80.02,58,64,3.76,broken clouds
121,Soma,TR,2022-07-15 23:28:56,39.1855,27.6094,64.9,74,0,7.05,clear sky
122,Pietersburg,ZA,2022-07-15 23:28:57,-23.9045,29.4688,45.45,81,0,1.14,clear sky
123,Barra Dos Coqueiros,BR,2022-07-15 23:28:57,-10.9089,-37.0386,75.22,78,75,10.36,broken clouds
124,Zhigalovo,RU,2022-07-15 23:28:58,54.8097,105.1578,54.66,99,100,2.77,moderate rain
125,Beloha,MG,2022-07-15 23:28:58,-25.1667,45.05,64.42,88,6,10.27,clear sky
